Tid,Temp.,Nedbør mm,Vindbeskrivelse,Vind [m/s],Vindkast [m/s],Log Time,Sted
11,19°,0,4 m/s fra nord med vindkast på 8 m/s,4,8,08/31/21 10:55:30,Kalundborg
12,20°,0,5 m/s fra nord med vindkast på 9 m/s,5,9,08/31/21 11:55:29,Kalundborg
13,20°,0,5 m/s fra nord med vindkast på 10 m/s,5,10,08/31/21 12:55:30,Kalundborg
14,21°,0,5 m/s fra nord med vindkast på 10 m/s,5,10,08/31/21 13:55:30,Kalundborg
15,21°,0,5 m/s fra nord med vindkast på 9 m/s,5,9,08/31/21 14:55:30,Kalundborg
16,22°,0,5 m/s fra nord med vindkast på 9 m/s,5,9,08/31/21 15:55:29,Kalundborg
17,22°,0,5 m/s fra nord med vindkast på 9 m/s,5,9,08/31/21 16:55:30,Kalundborg
18,21°,0,4 m/s fra nord med vindkast på 8 m/s,4,8,08/31/21 17:55:30,Kalundborg
19,20°,0,3 m/s fra nord med vindkast på 7 m/s,3,7,08/31/21 18:55:30,Kalundborg
20,19°,0,2 m/s fra nord med vindkast på 5 m/s,2,5,08/31/21 19:55:31,Kalundborg
21,18°,0,2 m/s fra vest med vindkast på 3 m/s,2,3,08/31/21 20:55:30,Kalundborg
22,17°,0,3 m/s fra nordvest med vindkast på 4 m/s,3,4,08/31/21 21:55:30,Kalundborg
23,17°,0,3 m/s fra nordvest med vindkast på 5 m/s,3,5,08/31/21 22:55:30,Kalundborg
0,17°,0,3 m/s fra nordvest med vindkast på 5 m/s,3,5,08/31/21 23:55:29,Kalundborg
1,16°,0,4 m/s fra nord med vindkast på 6 m/s,4,6,09/01/21 00:55:30,Kalundborg
2,16°,0,4 m/s fra nord med vindkast på 7 m/s,4,7,09/01/21 01:55:30,Kalundborg
3,16°,0,4 m/s fra nord med vindkast på 6 m/s,4,6,09/01/21 02:55:30,Kalundborg
4,16°,0,3 m/s fra nord med vindkast på 6 m/s,3,6,09/01/21 03:55:30,Kalundborg
5,16°,0,4 m/s fra nord med vindkast på 6 m/s,4,6,09/01/21 04:55:30,Kalundborg
6,16°,0,3 m/s fra nord med vindkast på 6 m/s,3,6,09/01/21 05:55:29,Kalundborg
7,15°,0,3 m/s fra nord med vindkast på 5 m/s,3,5,09/01/21 06:55:30,Kalundborg
8,17°,0,3 m/s fra nord med vindkast på 5 m/s,3,5,09/01/21 07:55:30,Kalundborg
9,18°,0,4 m/s fra nord med vindkast på 7 m/s,4,7,09/01/21 08:55:29,Kalundborg
10,19°,0,3 m/s fra nord med vindkast på 6 m/s,3,6,09/01/21 09:55:30,Kalundborg
11,20°,0,2 m/s fra nord med vindkast på 6 m/s,2,6,09/01/21 10:55:30,Kalundborg
12,21°,0,3 m/s fra nord med vindkast på 6 m/s,3,6,09/01/21 11:55:29,Kalundborg
13,22°,0,4 m/s fra nord med vindkast på 7 m/s,4,7,09/01/21 12:55:29,Kalundborg
14,22°,0,4 m/s fra nordvest med vindkast på 7 m/s,4,7,09/01/21 13:55:30,Kalundborg
15,22°,0,4 m/s fra nordvest med vindkast på 7 m/s,4,7,09/01/21 14:55:30,Kalundborg
16,22°,0,3 m/s fra vest med vindkast på 7 m/s,3,7,09/01/21 15:55:31,Kalundborg
17,22°,0,3 m/s fra vest med vindkast på 7 m/s,3,7,09/01/21 16:55:30,Kalundborg
18,22°,0,3 m/s fra vest med vindkast på 6 m/s,3,6,09/01/21 17:55:31,Kalundborg
19,22°,0,3 m/s fra vest med vindkast på 5 m/s,3,5,09/01/21 18:55:32,Kalundborg
20,20°,0,2 m/s fra vest med vindkast på 5 m/s,2,5,09/01/21 19:55:30,Kalundborg
21,19°,0,3 m/s fra vest med vindkast på 5 m/s,3,5,09/01/21 20:55:30,Kalundborg
22,19°,0,4 m/s fra vest med vindkast på 6 m/s,4,6,09/01/21 21:55:30,Kalundborg
23,18°,0,5 m/s fra vest med vindkast på 8 m/s,5,8,09/01/21 22:55:30,Kalundborg
0,17°,0,3 m/s fra nordvest med vindkast på 8 m/s,3,8,09/01/21 23:55:29,Kalundborg
1,16°,0,3 m/s fra nordvest med vindkast på 5 m/s,3,5,09/02/21 00:55:30,Kalundborg
2,15°,0,3 m/s fra nordvest med vindkast på 5 m/s,3,5,09/02/21 01:55:30,Kalundborg
3,15°,0,2 m/s fra nordvest med vindkast på 4 m/s,2,4,09/02/21 02:55:30,Kalundborg
4,15°,0,2 m/s fra nordvest med vindkast på 4 m/s,2,4,09/02/21 03:55:30,Kalundborg
5,15°,0,2 m/s fra nordvest med vindkast på 3 m/s,2,3,09/02/21 04:55:30,Kalundborg
6,15°,0,2 m/s fra nordvest med vindkast på 4 m/s,2,4,09/02/21 05:55:29,Kalundborg
7,16°,0,2 m/s fra nordvest med vindkast på 3 m/s,2,3,09/02/21 06:55:30,Kalundborg
8,18°,0,2 m/s fra nordvest med vindkast på 3 m/s,2,3,09/02/21 07:55:30,Kalundborg
9,18°,0,2 m/s fra nordvest med vindkast på 3 m/s,2,3,09/02/21 08:55:30,Kalundborg
10,18°,0,2 m/s fra nordvest med vindkast på 4 m/s,2,4,09/02/21 09:55:29,Kalundborg
11,19°,0,3 m/s fra vest med vindkast på 5 m/s,3,5,09/02/21 10:55:29,Kalundborg
12,20°,0,3 m/s fra vest med vindkast på 6 m/s,3,6,09/02/21 11:55:29,Kalundborg
13,20°,0,3 m/s fra vest med vindkast på 7 m/s,3,7,09/02/21 12:55:29,Kalundborg
14,21°,0,4 m/s fra vest med vindkast på 7 m/s,4,7,09/02/21 13:55:30,Kalundborg
15,22°,0,4 m/s fra vest med vindkast på 7 m/s,4,7,09/02/21 14:55:30,Kalundborg
16,21°,0,4 m/s fra vest med vindkast på 8 m/s,4,8,09/02/21 15:55:29,Kalundborg
17,22°,0,4 m/s fra vest med vindkast på 7 m/s,4,7,09/02/21 16:55:29,Kalundborg
18,22°,0,4 m/s fra vest med vindkast på 7 m/s,4,7,09/02/21 17:55:29,Kalundborg
19,22°,0,5 m/s fra vest med vindkast på 8 m/s,5,8,09/02/21 18:55:29,Kalundborg
20,19°,0,4 m/s fra sørvest med vindkast på 8 m/s,4,8,09/02/21 19:55:30,Kalundborg
21,19°,0,4 m/s fra sørvest med vindkast på 7 m/s,4,7,09/02/21 20:55:30,Kalundborg
22,19°,0,7 m/s fra vest med vindkast på 11 m/s,7,11,09/02/21 21:55:30,Kalundborg
23,17°,0,7 m/s fra vest med vindkast på 11 m/s,7,11,09/02/21 22:55:30,Kalundborg
0,16°,0,7 m/s fra vest med vindkast på 12 m/s,7,12,09/02/21 23:55:30,Kalundborg
1,16°,0,7 m/s fra vest med vindkast på 12 m/s,7,12,09/03/21 00:55:30,Kalundborg
2,15°,0,8 m/s fra vest med vindkast på 12 m/s,8,12,09/03/21 01:55:30,Kalundborg
3,15°,0,7 m/s fra vest med vindkast på 12 m/s,7,12,09/03/21 02:55:30,Kalundborg
4,15°,0,8 m/s fra vest med vindkast på 12 m/s,8,12,09/03/21 03:55:30,Kalundborg
5,15°,0,7 m/s fra vest med vindkast på 12 m/s,7,12,09/03/21 04:55:30,Kalundborg
6,14°,0,6 m/s fra nordvest med vindkast på 11 m/s,6,11,09/03/21 05:55:30,Kalundborg
7,14°,0,5 m/s fra nordvest med vindkast på 10 m/s,5,10,09/03/21 06:55:30,Kalundborg
8,16°,0,5 m/s fra nordvest med vindkast på 9 m/s,5,9,09/03/21 07:55:30,Kalundborg
9,16°,0,6 m/s fra nordvest med vindkast på 10 m/s,6,10,09/03/21 08:55:30,Kalundborg
10,17°,0,6 m/s fra nordvest med vindkast på 11 m/s,6,11,09/03/21 09:55:30,Kalundborg
11,18°,0,6 m/s fra nord med vindkast på 11 m/s,6,11,09/03/21 10:55:30,Kalundborg
12,19°,0,5 m/s fra nord med vindkast på 10 m/s,5,10,09/03/21 11:55:29,Kalundborg
13,19°,0,4 m/s fra nordvest med vindkast på 8 m/s,4,8,09/03/21 12:55:30,Kalundborg
14,20°,0,4 m/s fra nordvest med vindkast på 8 m/s,4,8,09/03/21 13:55:29,Kalundborg
15,21°,0,4 m/s fra nordvest med vindkast på 8 m/s,4,8,09/03/21 14:55:33,Kalundborg
16,21°,0,4 m/s fra vest med vindkast på 8 m/s,4,8,09/03/21 15:55:29,Kalundborg
17,21°,0,3 m/s fra vest med vindkast på 7 m/s,3,7,09/03/21 16:55:30,Kalundborg
18,21°,0,2 m/s fra vest med vindkast på 6 m/s,2,6,09/03/21 17:55:30,Kalundborg
19,21°,0,3 m/s fra nord med vindkast på 5 m/s,3,5,09/03/21 18:55:29,Kalundborg
20,18°,0,2 m/s fra nordøst med vindkast på 5 m/s,2,5,09/03/21 19:55:29,Kalundborg
21,17°,0,1 m/s fra nordøst med vindkast på 3 m/s,1,3,09/03/21 20:55:29,Kalundborg
22,17°,0,2 m/s fra nord med vindkast på 2 m/s,2,2,09/03/21 21:55:30,Kalundborg
23,17°,0,3 m/s fra nord med vindkast på 4 m/s,3,4,09/03/21 22:55:29,Kalundborg
0,15°,0,1 m/s fra nordøst med vindkast på 3 m/s,1,3,09/03/21 23:55:29,Kalundborg
1,14°,0,2 m/s fra nordøst med vindkast på 2 m/s,2,2,09/04/21 00:55:30,Kalundborg
2,14°,0,2 m/s fra nordøst med vindkast på 2 m/s,2,2,09/04/21 01:55:29,Kalundborg
3,15°,0,2 m/s fra nordøst med vindkast på 3 m/s,2,3,09/04/21 02:55:30,Kalundborg
4,14°,0,3 m/s fra nordøst med vindkast på 4 m/s,3,4,09/04/21 03:55:29,Kalundborg
5,13°,0,3 m/s fra nordøst med vindkast på 5 m/s,3,5,09/04/21 04:55:29,Kalundborg
6,13°,0,3 m/s fra nordøst med vindkast på 5 m/s,3,5,09/04/21 05:55:29,Kalundborg
7,12°,0,3 m/s fra nordøst med vindkast på 5 m/s,3,5,09/04/21 06:55:29,Kalundborg
8,14°,0,3 m/s fra nordøst med vindkast på 6 m/s,3,6,09/04/21 07:55:29,Kalundborg
9,15°,0,4 m/s fra nordøst med vindkast på 7 m/s,4,7,09/04/21 08:55:29,Kalundborg
10,16°,0,5 m/s fra nordøst med vindkast på 8 m/s,5,8,09/04/21 09:55:30,Kalundborg
11,18°,0,5 m/s fra øst med vindkast på 9 m/s,5,9,09/04/21 10:55:29,Kalundborg
12,19°,0,5 m/s fra øst med vindkast på 10 m/s,5,10,09/04/21 11:55:29,Kalundborg
13,20°,0,6 m/s fra nordøst med vindkast på 11 m/s,6,11,09/04/21 12:55:29,Kalundborg
14,20°,0,6 m/s fra nordøst med vindkast på 11 m/s,6,11,09/04/21 13:55:29,Kalundborg
15,20°,0,5 m/s fra nordøst med vindkast på 11 m/s,5,11,09/04/21 14:55:29,Kalundborg
16,20°,0,6 m/s fra nordøst med vindkast på 10 m/s,6,10,09/04/21 15:55:29,Kalundborg
17,20°,0,6 m/s fra nordøst med vindkast på 10 m/s,6,10,09/04/21 16:55:29,Kalundborg
18,20°,0,6 m/s fra nordøst med vindkast på 10 m/s,6,10,09/04/21 17:55:29,Kalundborg
19,19°,0,5 m/s fra nordøst med vindkast på 9 m/s,5,9,09/04/21 18:55:29,Kalundborg
20,18°,0,3 m/s fra nordøst med vindkast på 8 m/s,3,8,09/04/21 19:55:29,Kalundborg
21,16°,0,2 m/s fra sørøst med vindkast på 5 m/s,2,5,09/04/21 20:55:29,Kalundborg
22,14°,0,2 m/s fra sørøst med vindkast på 4 m/s,2,4,09/04/21 21:55:29,Kalundborg
23,13°,0,2 m/s fra sørøst med vindkast på 3 m/s,2,3,09/04/21 22:55:29,Kalundborg
0,13°,0,2 m/s fra sørøst med vindkast på 2 m/s,2,2,09/04/21 23:55:29,Kalundborg
1,12°,0,2 m/s fra øst med vindkast på 3 m/s,2,3,09/05/21 00:55:31,Kalundborg
2,11°,0,2 m/s fra øst med vindkast på 3 m/s,2,3,09/05/21 01:55:29,Kalundborg
3,11°,0,2 m/s fra øst med vindkast på 3 m/s,2,3,09/05/21 02:55:29,Kalundborg
4,10°,0,2 m/s fra øst med vindkast på 3 m/s,2,3,09/05/21 03:55:29,Kalundborg
5,10°,0,2 m/s fra øst med vindkast på 3 m/s,2,3,09/05/21 04:55:30,Kalundborg
6,10°,0,2 m/s fra øst med vindkast på 3 m/s,2,3,09/05/21 05:55:29,Kalundborg
7,9°,0,2 m/s fra øst med vindkast på 3 m/s,2,3,09/05/21 06:55:30,Kalundborg
8,11°,0,2 m/s fra øst med vindkast på 4 m/s,2,4,09/05/21 07:55:30,Kalundborg
9,14°,0,3 m/s fra øst med vindkast på 5 m/s,3,5,09/05/21 08:55:29,Kalundborg
10,16°,0,5 m/s fra øst med vindkast på 9 m/s,5,9,09/05/21 09:55:29,Kalundborg
11,18°,0,5 m/s fra sørøst med vindkast på 10 m/s,5,10,09/05/21 10:55:29,Kalundborg
12,18°,0,5 m/s fra sørøst med vindkast på 10 m/s,5,10,09/05/21 11:55:29,Kalundborg
13,20°,0,5 m/s fra sørøst med vindkast på 9 m/s,5,9,09/05/21 12:55:29,Kalundborg
14,20°,0,5 m/s fra sørøst med vindkast på 9 m/s,5,9,09/05/21 13:55:29,Kalundborg
15,20°,0,5 m/s fra sørøst med vindkast på 9 m/s,5,9,09/05/21 14:55:29,Kalundborg
16,20°,0,5 m/s fra sørøst med vindkast på 9 m/s,5,9,09/05/21 15:55:29,Kalundborg
17,19°,0,5 m/s fra øst med vindkast på 9 m/s,5,9,09/05/21 16:55:29,Kalundborg
18,19°,0,4 m/s fra øst med vindkast på 9 m/s,4,9,09/05/21 17:55:29,Kalundborg
19,18°,0,4 m/s fra øst med vindkast på 8 m/s,4,8,09/05/21 18:55:31,Kalundborg
20,16°,0,3 m/s fra øst med vindkast på 7 m/s,3,7,09/05/21 19:55:29,Kalundborg
21,15°,0,3 m/s fra øst med vindkast på 4 m/s,3,4,09/05/21 20:55:29,Kalundborg
22,14°,0,3 m/s fra øst med vindkast på 4 m/s,3,4,09/05/21 21:55:29,Kalundborg
23,13°,0,3 m/s fra sørøst med vindkast på 4 m/s,3,4,09/05/21 22:55:29,Kalundborg
0,12°,0,3 m/s fra øst med vindkast på 4 m/s,3,4,09/05/21 23:55:29,Kalundborg
1,12°,0,3 m/s fra øst med vindkast på 5 m/s,3,5,09/06/21 00:55:29,Kalundborg
2,12°,0,3 m/s fra øst med vindkast på 5 m/s,3,5,09/06/21 01:55:30,Kalundborg
3,12°,0,3 m/s fra sørøst med vindkast på 5 m/s,3,5,09/06/21 02:55:30,Kalundborg
4,11°,0,3 m/s fra øst med vindkast på 6 m/s,3,6,09/06/21 03:55:30,Kalundborg
5,12°,0,3 m/s fra øst med vindkast på 5 m/s,3,5,09/06/21 04:55:29,Kalundborg
6,11°,0,3 m/s fra øst med vindkast på 4 m/s,3,4,09/06/21 05:55:30,Kalundborg
7,11°,0,3 m/s fra øst med vindkast på 5 m/s,3,5,09/06/21 06:55:29,Kalundborg
8,11°,0,2 m/s fra øst med vindkast på 4 m/s,2,4,09/06/21 07:55:30,Kalundborg
9,13°,0,2 m/s fra øst med vindkast på 4 m/s,2,4,09/06/21 08:55:29,Kalundborg
10,16°,0,3 m/s fra sørøst med vindkast på 5 m/s,3,5,09/06/21 09:55:29,Kalundborg
11,19°,0,2 m/s fra sørøst med vindkast på 5 m/s,2,5,09/06/21 10:55:29,Kalundborg
12,20°,0,2 m/s fra øst med vindkast på 4 m/s,2,4,09/06/21 11:55:34,Kalundborg
13,20°,0,1 m/s fra sør med vindkast på 5 m/s,1,5,09/06/21 12:55:29,Kalundborg
14,18°,0,3 m/s fra nordvest med vindkast på 5 m/s,3,5,09/06/21 13:55:29,Kalundborg
17,21°,0,2 m/s fra nord med vindkast på 5 m/s,2,5,09/06/21 16:55:47,Kalundborg
18,19°,0,2 m/s fra nord med vindkast på 5 m/s,2,5,09/06/21 17:55:29,Kalundborg
19,18°,0,2 m/s fra nord med vindkast på 4 m/s,2,4,09/06/21 18:55:29,Kalundborg
20,17°,0,1 m/s fra nord med vindkast på 3 m/s,1,3,09/06/21 19:55:29,Kalundborg
21,16°,0,1 m/s fra øst med vindkast på 2 m/s,1,2,09/06/21 20:55:29,Kalundborg
22,15°,0,1 m/s fra øst med vindkast på 1 m/s,1,1,09/06/21 21:55:29,Kalundborg
23,15°,0,1 m/s fra sør med vindkast på 1 m/s,1,1,09/06/21 22:55:29,Kalundborg
0,15°,0,1 m/s fra sør med vindkast på 2 m/s,1,2,09/06/21 23:55:29,Kalundborg
1,14°,0,1 m/s fra sør med vindkast på 1 m/s,1,1,09/07/21 00:55:30,Kalundborg
2,14°,0,1 m/s fra sør med vindkast på 1 m/s,1,1,09/07/21 01:55:29,Kalundborg
3,13°,0,1 m/s fra vest med vindkast på 1 m/s,1,1,09/07/21 02:55:30,Kalundborg
4,13°,0,2 m/s fra nord med vindkast på 3 m/s,2,3,09/07/21 03:55:30,Kalundborg
5,12°,0,2 m/s fra nord med vindkast på 3 m/s,2,3,09/07/21 04:55:30,Kalundborg
6,12°,0,2 m/s fra nord med vindkast på 3 m/s,2,3,09/07/21 05:55:29,Kalundborg
7,12°,0,1 m/s fra nordvest med vindkast på 2 m/s,1,2,09/07/21 06:55:30,Kalundborg
8,13°,0,1 m/s fra nordvest med vindkast på 2 m/s,1,2,09/07/21 07:55:30,Kalundborg
9,15°,0,2 m/s fra nordvest med vindkast på 4 m/s,2,4,09/07/21 08:55:30,Kalundborg
10,15°,0,2 m/s fra vest med vindkast på 4 m/s,2,4,09/07/21 09:55:30,Kalundborg
11,16°,0,3 m/s fra vest med vindkast på 5 m/s,3,5,09/07/21 10:55:29,Kalundborg
12,18°,0,3 m/s fra vest med vindkast på 6 m/s,3,6,09/07/21 11:55:30,Kalundborg
13,19°,0,3 m/s fra vest med vindkast på 6 m/s,3,6,09/07/21 12:55:29,Kalundborg
14,20°,0,4 m/s fra vest med vindkast på 7 m/s,4,7,09/07/21 13:55:30,Kalundborg
15,20°,0,4 m/s fra vest med vindkast på 7 m/s,4,7,09/07/21 14:55:29,Kalundborg
16,21°,0,4 m/s fra vest med vindkast på 7 m/s,4,7,09/07/21 15:55:29,Kalundborg
17,20°,0,3 m/s fra vest med vindkast på 7 m/s,3,7,09/07/21 16:55:30,Kalundborg
18,20°,0,2 m/s fra sørvest med vindkast på 6 m/s,2,6,09/07/21 17:55:29,Kalundborg
19,20°,0,2 m/s fra sør med vindkast på 4 m/s,2,4,09/07/21 18:55:29,Kalundborg
20,19°,0,2 m/s fra sør med vindkast på 4 m/s,2,4,09/07/21 19:55:29,Kalundborg
21,18°,0,2 m/s fra sør med vindkast på 4 m/s,2,4,09/07/21 20:55:29,Kalundborg
22,18°,0,2 m/s fra sør med vindkast på 4 m/s,2,4,09/07/21 21:55:30,Kalundborg
23,18°,0,4 m/s fra sørvest med vindkast på 6 m/s,4,6,09/07/21 22:55:29,Kalundborg
0,17°,0,3 m/s fra sørvest med vindkast på 6 m/s,3,6,09/07/21 23:55:30,Kalundborg
1,17°,0,3 m/s fra sørvest med vindkast på 5 m/s,3,5,09/08/21 00:55:30,Kalundborg
2,17°,0,4 m/s fra sørvest med vindkast på 6 m/s,4,6,09/08/21 01:55:30,Kalundborg
3,17°,0,4 m/s fra sørvest med vindkast på 6 m/s,4,6,09/08/21 02:55:29,Kalundborg
4,17°,0,4 m/s fra sør med vindkast på 6 m/s,4,6,09/08/21 03:55:32,Kalundborg
5,17°,0,4 m/s fra sør med vindkast på 7 m/s,4,7,09/08/21 04:55:29,Kalundborg
6,17°,0,4 m/s fra sørvest med vindkast på 7 m/s,4,7,09/08/21 05:55:30,Kalundborg
7,17°,0,4 m/s fra sørvest med vindkast på 7 m/s,4,7,09/08/21 06:55:30,Kalundborg
8,18°,0,4 m/s fra sørvest med vindkast på 7 m/s,4,7,09/08/21 07:55:29,Kalundborg
9,18°,0,4 m/s fra sørvest med vindkast på 7 m/s,4,7,09/08/21 08:55:29,Kalundborg
10,18°,0,4 m/s fra sørvest med vindkast på 7 m/s,4,7,09/08/21 09:55:30,Kalundborg
11,20°,0,4 m/s fra sørvest med vindkast på 7 m/s,4,7,09/08/21 10:55:30,Kalundborg
12,21°,0,4 m/s fra sørvest med vindkast på 7 m/s,4,7,09/08/21 11:55:29,Kalundborg
13,22°,0,4 m/s fra vest med vindkast på 8 m/s,4,8,09/08/21 12:55:29,Kalundborg
14,22°,0,4 m/s fra vest med vindkast på 7 m/s,4,7,09/08/21 13:55:29,Kalundborg
15,23°,0,4 m/s fra vest med vindkast på 7 m/s,4,7,09/08/21 14:55:29,Kalundborg
16,23°,0,2 m/s fra vest med vindkast på 6 m/s,2,6,09/08/21 15:55:29,Kalundborg
17,24°,0,2 m/s fra vest med vindkast på 5 m/s,2,5,09/08/21 16:55:29,Kalundborg
18,24°,0,2 m/s fra sørvest med vindkast på 4 m/s,2,4,09/08/21 17:55:29,Kalundborg
19,23°,0,3 m/s fra sør med vindkast på 5 m/s,3,5,09/08/21 18:55:30,Kalundborg
20,22°,0,3 m/s fra sør med vindkast på 5 m/s,3,5,09/08/21 19:55:29,Kalundborg
21,21°,0,3 m/s fra sørvest med vindkast på 4 m/s,3,4,09/08/21 20:55:29,Kalundborg
22,19°,0,3 m/s fra sør med vindkast på 5 m/s,3,5,09/08/21 21:55:29,Kalundborg
23,19°,0,3 m/s fra sør med vindkast på 5 m/s,3,5,09/08/21 22:55:29,Kalundborg
0,19°,0,3 m/s fra sør med vindkast på 6 m/s,3,6,09/08/21 23:55:29,Kalundborg
1,18°,0,2 m/s fra sør med vindkast på 4 m/s,2,4,09/09/21 00:55:30,Kalundborg
2,17°,0,2 m/s fra sørvest med vindkast på 4 m/s,2,4,09/09/21 01:55:30,Kalundborg
3,17°,0,2 m/s fra sørvest med vindkast på 3 m/s,2,3,09/09/21 02:55:30,Kalundborg
4,16°,0,1 m/s fra sør med vindkast på 2 m/s,1,2,09/09/21 03:55:30,Kalundborg
5,15°,0,2 m/s fra sørøst med vindkast på 2 m/s,2,2,09/09/21 04:55:29,Kalundborg
6,14°,0,2 m/s fra sørøst med vindkast på 2 m/s,2,2,09/09/21 05:55:29,Kalundborg
7,14°,0,2 m/s fra sørøst med vindkast på 3 m/s,2,3,09/09/21 06:55:30,Kalundborg
8,15°,0,2 m/s fra sørøst med vindkast på 3 m/s,2,3,09/09/21 07:55:30,Kalundborg
9,18°,0,2 m/s fra sørøst med vindkast på 3 m/s,2,3,09/09/21 08:55:29,Kalundborg
10,20°,0,3 m/s fra sørøst med vindkast på 5 m/s,3,5,09/09/21 09:55:30,Kalundborg
11,21°,0,3 m/s fra sør med vindkast på 7 m/s,3,7,09/09/21 10:55:33,Kalundborg
12,22°,0,3 m/s fra sør med vindkast på 7 m/s,3,7,09/09/21 11:55:29,Kalundborg
13,24°,0,4 m/s fra sør med vindkast på 7 m/s,4,7,09/09/21 12:55:29,Kalundborg
14,25°,0,3 m/s fra sørvest med vindkast på 8 m/s,3,8,09/09/21 13:55:30,Kalundborg
15,25°,0,3 m/s fra sørvest med vindkast på 7 m/s,3,7,09/09/21 14:55:29,Kalundborg
16,25°,0,3 m/s fra sørvest med vindkast på 7 m/s,3,7,09/09/21 15:55:29,Kalundborg
17,25°,0,3 m/s fra sørvest med vindkast på 7 m/s,3,7,09/09/21 16:55:29,Kalundborg
18,24°,0,3 m/s fra nord med vindkast på 6 m/s,3,6,09/09/21 17:55:29,Kalundborg
19,23°,0,2 m/s fra nordøst med vindkast på 5 m/s,2,5,09/09/21 18:55:29,Kalundborg
20,22°,0,1 m/s fra nordøst med vindkast på 4 m/s,1,4,09/09/21 19:55:29,Kalundborg
21,20°,0,2 m/s fra sørøst med vindkast på 3 m/s,2,3,09/09/21 20:55:30,Kalundborg
22,19°,0,3 m/s fra sørøst med vindkast på 4 m/s,3,4,09/09/21 21:55:29,Kalundborg
23,18°,0,3 m/s fra sørøst med vindkast på 4 m/s,3,4,09/09/21 22:55:29,Kalundborg
0,17°,0,2 m/s fra øst med vindkast på 4 m/s,2,4,09/09/21 23:55:29,Kalundborg
1,16°,0,3 m/s fra sørøst med vindkast på 5 m/s,3,5,09/10/21 00:55:30,Kalundborg
2,16°,0,3 m/s fra sørøst med vindkast på 5 m/s,3,5,09/10/21 01:55:30,Kalundborg
3,15°,0,2 m/s fra sørøst med vindkast på 4 m/s,2,4,09/10/21 02:55:30,Kalundborg
4,15°,0,2 m/s fra sørøst med vindkast på 4 m/s,2,4,09/10/21 03:55:31,Kalundborg
5,14°,0,2 m/s fra sørøst med vindkast på 4 m/s,2,4,09/10/21 04:55:30,Kalundborg
6,14°,0,2 m/s fra sørøst med vindkast på 4 m/s,2,4,09/10/21 05:55:29,Kalundborg
7,14°,0,2 m/s fra øst med vindkast på 4 m/s,2,4,09/10/21 06:55:29,Kalundborg
8,15°,0,2 m/s fra øst med vindkast på 4 m/s,2,4,09/10/21 07:55:30,Kalundborg
9,18°,0,3 m/s fra sørøst med vindkast på 4 m/s,3,4,09/10/21 08:55:29,Kalundborg
10,21°,0,3 m/s fra sørøst med vindkast på 5 m/s,3,5,09/10/21 09:55:30,Kalundborg
11,22°,0,3 m/s fra sørøst med vindkast på 6 m/s,3,6,09/10/21 10:55:30,Kalundborg
12,23°,0,3 m/s fra sørøst med vindkast på 7 m/s,3,7,09/10/21 11:55:29,Kalundborg
13,23°,0,3 m/s fra sør med vindkast på 7 m/s,3,7,09/10/21 12:55:29,Kalundborg
14,25°,0,3 m/s fra sør med vindkast på 7 m/s,3,7,09/10/21 13:55:30,Kalundborg
15,25°,0,3 m/s fra sørvest med vindkast på 7 m/s,3,7,09/10/21 14:55:30,Kalundborg
16,21°,0,4 m/s fra sør med vindkast på 8 m/s,4,8,09/10/21 15:55:29,Kalundborg
0,16°,0,2 m/s fra sørvest med vindkast på 4 m/s,2,4,08/10/21 23:50:59,Lolland
1,17°,0,2 m/s fra sørvest med vindkast på 4 m/s,2,4,08/11/21 00:51:01,Lolland
2,16°,0,2 m/s fra vest med vindkast på 4 m/s,2,4,08/11/21 01:50:57,Lolland
3,16°,0,3 m/s fra vest med vindkast på 4 m/s,3,4,08/11/21 02:51:00,Lolland
4,15°,0,3 m/s fra vest med vindkast på 4 m/s,3,4,08/11/21 03:50:56,Lolland
5,14°,0,3 m/s fra vest med vindkast på 4 m/s,3,4,08/11/21 04:50:56,Lolland
6,15°,0,3 m/s fra vest med vindkast på 5 m/s,3,5,08/11/21 05:50:56,Lolland
7,15°,0,3 m/s fra vest med vindkast på 5 m/s,3,5,08/11/21 06:50:56,Lolland
8,16°,0,3 m/s fra vest med vindkast på 5 m/s,3,5,08/11/21 07:50:55,Lolland
9,17°,0,4 m/s fra vest med vindkast på 6 m/s,4,6,08/11/21 08:50:55,Lolland
10,18°,0,4 m/s fra vest med vindkast på 7 m/s,4,7,08/11/21 09:50:56,Lolland
11,19°,0,4 m/s fra vest med vindkast på 7 m/s,4,7,08/11/21 10:51:00,Lolland
12,18°,0,4 m/s fra vest med vindkast på 8 m/s,4,8,08/11/21 11:50:55,Lolland
13,22°,0,6 m/s fra vest med vindkast på 10 m/s,6,10,08/11/21 12:50:56,Lolland
14,22°,0,6 m/s fra vest med vindkast på 10 m/s,6,10,08/11/21 13:50:55,Lolland
15,22°,0,5 m/s fra vest med vindkast på 10 m/s,5,10,08/11/21 14:50:55,Lolland
16,23°,0,6 m/s fra vest med vindkast på 10 m/s,6,10,08/11/21 15:50:56,Lolland
17,23°,0,6 m/s fra vest med vindkast på 10 m/s,6,10,08/11/21 16:50:55,Lolland
18,23°,0,5 m/s fra vest med vindkast på 10 m/s,5,10,08/11/21 17:50:56,Lolland
19,23°,0,5 m/s fra vest med vindkast på 9 m/s,5,9,08/11/21 18:50:55,Lolland
